week_id,sales1_name,sales2_name,factor
8,Mortgage,Purchase Mortgage - Existing WF Customers,1
9,Mortgage,Purchase Mortgage - Existing WF Customers,1
10,Mortgage,Purchase Mortgage - Existing WF Customers,1
11,Mortgage,Purchase Mortgage - Existing WF Customers,1
12,Mortgage,Purchase Mortgage - Existing WF Customers,1
13,Mortgage,Purchase Mortgage - Existing WF Customers,1
14,Mortgage,Purchase Mortgage - Existing WF Customers,1
15,Mortgage,Purchase Mortgage - Existing WF Customers,1
16,Mortgage,Purchase Mortgage - Existing WF Customers,1
17,Mortgage,Purchase Mortgage - Existing WF Customers,1
18,Mortgage,Purchase Mortgage - Existing WF Customers,1
19,Mortgage,Purchase Mortgage - Existing WF Customers,1
20,Mortgage,Purchase Mortgage - Existing WF Customers,1
21,Mortgage,Purchase Mortgage - Existing WF Customers,1
22,Mortgage,Purchase Mortgage - Existing WF Customers,1
23,Mortgage,Purchase Mortgage - Existing WF Customers,1
24,Mortgage,Purchase Mortgage - Existing WF Customers,1
25,Mortgage,Purchase Mortgage - Existing WF Customers,1
26,Mortgage,Purchase Mortgage - Existing WF Customers,1
27,Mortgage,Purchase Mortgage - Existing WF Customers,1
28,Mortgage,Purchase Mortgage - Existing WF Customers,1
29,Mortgage,Purchase Mortgage - Existing WF Customers,1
30,Mortgage,Purchase Mortgage - Existing WF Customers,1
31,Mortgage,Purchase Mortgage - Existing WF Customers,1
32,Mortgage,Purchase Mortgage - Existing WF Customers,1
33,Mortgage,Purchase Mortgage - Existing WF Customers,1
34,Mortgage,Purchase Mortgage - Existing WF Customers,1
35,Mortgage,Purchase Mortgage - Existing WF Customers,1
36,Mortgage,Purchase Mortgage - Existing WF Customers,1
37,Mortgage,Purchase Mortgage - Existing WF Customers,1
38,Mortgage,Purchase Mortgage - Existing WF Customers,1
39,Mortgage,Purchase Mortgage - Existing WF Customers,1
40,Mortgage,Purchase Mortgage - Existing WF Customers,1
41,Mortgage,Purchase Mortgage - Existing WF Customers,1
42,Mortgage,Purchase Mortgage - Existing WF Customers,1
43,Mortgage,Purchase Mortgage - Existing WF Customers,1
44,Mortgage,Purchase Mortgage - Existing WF Customers,1
45,Mortgage,Purchase Mortgage - Existing WF Customers,1
46,Mortgage,Purchase Mortgage - Existing WF Customers,1
47,Mortgage,Purchase Mortgage - Existing WF Customers,1
48,Mortgage,Purchase Mortgage - Existing WF Customers,1
49,Mortgage,Purchase Mortgage - Existing WF Customers,1
50,Mortgage,Purchase Mortgage - Existing WF Customers,1
51,Mortgage,Purchase Mortgage - Existing WF Customers,1
52,Mortgage,Purchase Mortgage - Existing WF Customers,1
1,Mortgage,Refi Mortgage - New WF Customers,1
2,Mortgage,Refi Mortgage - New WF Customers,1
3,Mortgage,Refi Mortgage - New WF Customers,1
4,Mortgage,Refi Mortgage - New WF Customers,1
5,Mortgage,Refi Mortgage - New WF Customers,1
6,Mortgage,Refi Mortgage - New WF Customers,1
7,Mortgage,Refi Mortgage - New WF Customers,1
8,Mortgage,Refi Mortgage - New WF Customers,1
9,Mortgage,Refi Mortgage - New WF Customers,1
10,Mortgage,Refi Mortgage - New WF Customers,1
11,Mortgage,Refi Mortgage - New WF Customers,1
12,Mortgage,Refi Mortgage - New WF Customers,1
13,Mortgage,Refi Mortgage - New WF Customers,1
14,Mortgage,Refi Mortgage - New WF Customers,1
15,Mortgage,Refi Mortgage - New WF Customers,1
16,Mortgage,Refi Mortgage - New WF Customers,1
