sales1_name,sales2_name,chan1_name,chan2_name,chan3_name,dma1_name,hl,hrf,max,cpp,wks,beta,curvegroup_name,factor_1,factor_2,factor_3
Mortgage,Purchase Mortgage - Existing WF Customers,Newspaper,General Market,Brand,National,0.6,0.3,620940.7983,1,1,14.20779544,weekly,1597,2067,2067
Mortgage,Purchase Mortgage - Existing WF Customers,Radio,General Market,Deposits,National,1,0.5,1179011.244,1,1,19.81158901,weekly,1597,2067,2067
Mortgage,Purchase Mortgage - Existing WF Customers,Online Display,General Market,Deposits,National,0.3,0.6,1661893.244,1,1,33.10879475,weekly,1597,2067,2067
Mortgage,Refi Mortgage - New WF Customers,Radio,General Market,Mortgage,National,0.6,0.25,560378.429,1,1,150.6677601,weekly,1007,1305,1305
Mortgage,Refi Mortgage - New WF Customers,Online Display,General Market,Mortgage,National,0.01,0.12,220164693,0.000777689,1,114.8923942,weekly,1007,1305,1305
Mortgage,Refi Mortgage - New WF Customers,Paid Search,General Market,Mortgage,National,0.01,0.2,93239,1.863513196,1,240.2525829,weekly,1007,1305,1305
Mortgage,Refi Mortgage - New WF Customers,Radio,General Market,Brand,National,0.6,0.3,700242.9861,1,1,95.7290953,weekly,1007,1305,1305
Mortgage,Refi Mortgage - New WF Customers,Newspaper,General Market,Brand,National,1,0.3,620940.7983,1,1,51.16161288,weekly,1007,1305,1305
Mortgage,Refi Mortgage - New WF Customers,Newspaper,Diverse Segment,Brand,National,0.6,0.3,3530113,0.087678219,1,9.385036606,weekly,1007,1305,1305
Mortgage,Refi Mortgage - New WF Customers,Outdoor,General Market,Deposits,National,0.3,0.3,1072149.405,1,1,42.1728922,weekly,1007,1305,1305
Mortgage,Refi Mortgage - New WF Customers,Direct Mail Acq/Prosp,Direct Mail,Refi Mortgage,National,2,0.45,480484,0.56,1,173.7370231,weekly,1007,1305,1305
Mortgage,Refi Mortgage - Existing WF Customers,Television,General Market,Mortgage,National,2,0.3,65.68934924,28375.57342,1,847.1151857,weekly,1448,1875,1875
Mortgage,Refi Mortgage - Existing WF Customers,Online Display,General Market,Mortgage,National,0.01,0.12,220164693,0.000777689,1,146.4548044,weekly,1448,1875,1875
Mortgage,Refi Mortgage - Existing WF Customers,Paid Search,General Market,Mortgage,National,0.01,0.2,93239,1.863513196,1,235.1271955,weekly,1448,1875,1875
Mortgage,Refi Mortgage - Existing WF Customers,Television,General Market,Brand,National,1,0.15,134.59,34785.33651,1,102.2277021,weekly,1448,1875,1875
Mortgage,Refi Mortgage - Existing WF Customers,Newspaper,General Market,Brand,National,0.3,0.3,620940.7983,1,1,75.38988412,weekly,1448,1875,1875
Mortgage,Refi Mortgage - Existing WF Customers,Newspaper,Diverse Segment,Brand,National,0.3,0.3,3530113,0.087678219,1,73.07267699,weekly,1448,1875,1875
Mortgage,Refi Mortgage - Existing WF Customers,Radio,General Market,Deposits,National,0.6,0.5,1179011.244,1,1,222.5010133,weekly,1448,1875,1875
Mortgage,Refi Mortgage - Existing WF Customers,Outdoor,General Market,Deposits,National,2,0.3,1072149.405,1,1,151.2760781,weekly,1448,1875,1875
Mortgage,Refi Mortgage - Existing WF Customers,Direct Mail Acq/Prosp,Direct Mail,Refi Mortgage,National,2,0.45,480484,0.56,1,365.6826263,weekly,1448,1875,1875
Mortgage,Refi Mortgage - Existing WF Customers,Direct Mail Xsell/Recap,Direct Mail,Refi Mortgage,National,3,0.3,444408,0.56,1,458.9107317,weekly,1448,1875,1875
