sales1_name,sales2_name,chan1_name,chan2_name,chan3_name,dma1_name,var,beta,hl,hrf,max,cpp,apprate,ratio,m_1,m_2,m_3,m_4,m_5
Mortgage,Refi Mortgage - New WF Customers,Online Display,Mortgage,General Market,National,odp_tl_mtg_spd,176.0369044,0.3,0.15,216734.588,1,0.23501625,1,0.828671157,449,1007,1305,1305
Mortgage,Refi Mortgage - New WF Customers,Outdoor,Deposits,General Market,National,toh_dpst_spd,29.81137096,1,0.3,1072149.405,1,1,1,0.828671157,449,1007,1305,1305
Mortgage,Refi Mortgage - New WF Customers,Paid Search,Mortgage,General Market,National,ops_mtg_tl_tl_spd,207.3157973,0.01,0.15,298979.16,1,0.471357301,1,0.828671157,449,1007,1305,1305
Mortgage,Refi Mortgage - New WF Customers,Radio,Brand,General Market,National,trd_brnd_spd,61.29711687,0.6,0.45,932153.265,1,0.3,1,0.828671157,449,1007,1305,1305
Mortgage,Refi Mortgage - New WF Customers,Radio,Mortgage,General Market,National,trd_mrtg_spd,102.0467844,0.6,0.15,560378.429,1,0.2942,1,0.828671157,449,1007,1305,1305
Mortgage,Refi Mortgage - New WF Customers,Radio,Mortgage eLending,General Market,National,trd_meld_spd,96.45339603,0.6,0.15,449060.1,1,0.23501625,1,0.828671157,449,1007,1305,1305
Mortgage,Refi Mortgage - New WF Customers,Television,Brand,General Market,National,ttv_brnd_trp,147.6130472,3,0.3,383.4,33818.11378,1,1,0.828671157,449,1007,1305,1305
Mortgage,Refi Mortgage - New WF Customers,Television,Deposits,General Market,National,ttv_dpst_trp,791.2225354,1,0.15,675.36,27396.33723,1,1,0.828671157,449,1007,1305,1305
Mortgage,Refi Mortgage - New WF Customers,Television,Mortgage,General Market,National,ttv_mrtg_trp,508.4406663,2,0.3,367.8,28375.57342,1,1,0.828671157,449,1007,1305,1305
WIM,WIM - Non-retirement,Newspaper,WIM Brokerage,General Market,National,tnp_wbrk_spd,181.2761207,1,0.3,1108767.736,1,1,1,1,252,635,844,844
WIM,WIM - Non-retirement,Online Display,WIM Brokerage,General Market,National,odp_tl_wbg_spd,909.1256782,0.01,0.15,491624.74,1,1,1,1,252,635,844,844
WIM,WIM - Non-retirement,Online Video,Brand,General Market,National,odp_vd_brd_imp,227.9552322,0.3,0.45,372404352,0.01243976,1,1,1,252,635,844,844
WIM,WIM - Non-retirement,Paid Search,WIM Brokerage,General Market,National,ops_wfa_tl_tl_clk,212.6859687,0.01,0.15,37343,2.244086946,1,1,1,252,635,844,844
